content,tags
"menwgirl
똑같은 포스같지만 조금 다른
꾸안꾸 #나이키 #에어포스 추천
@@나 이거 갖고싶음❤

+ menwgirl 프로필 링크에 구매처 찾아뒀어요!💭

#운동화추천 #포스 #에어포스 #나이키포스 #에어포스1 #에어포스코디 #포스코디 #에어포스올백 #에어포스올검 #에어포스플랫폼 #에어포스블루 #에어포스말라카이트 #에어포스크롬럭스 #에어포스로얄블루 #에어포스파슬앤화이트
93주","['#나이키', '#에어포스', '#운동화추천', '#포스', '#에어포스', '#나이키포스', '#에어포스1', '#에어포스코디', '#포스코디', '#에어포스올백', '#에어포스올검', '#에어포스플랫폼', '#에어포스블루', '#에어포스말라카이트', '#에어포스크롬럭스', '#에어포스로얄블루', '#에어포스파슬앤화이트']"
"fashionandstyle.official
켄달 제너의 나이키 운동화 픽✔️
에어 줌 스피리돈 케이지 2 메탈릭 실버🩶그녀의 데일리템👟

#켄달제너 #kendalljenner #나이키 #나이키운동화 #스피리돈 #나이키스피리돈 #운동화코디
53주","['#켄달제너', '#kendalljenner', '#나이키', '#나이키운동화', '#스피리돈', '#나이키스피리돈', '#운동화코디']"
"le.syndrome
#나이키 유럽 지사가 겨울철이면 북유럽에 찾아오는 긴 어둠과 오로라를 쫓는 데 필요한 어두운 하늘 등 자연 환경에 영감을 받아 탄생한 GEL 라인의 ‘에어 맥스 SNDR’ 옵스큐라 에디션을 소개합니다.

신비한 기운이 느껴지는 아이슬란드처럼 미지의 세계를 탐구하듯 1999년 오리지널 에어 맥스 선더를 재해석한 에어 맥스 SNDR OBSCURA는 겨울철 북유럽 태양이 쏟아내는 고에너지 입자를 표현한 리플렉티브 통풍 패널이 측먼, 칠흑 같은 어둠은 아웃솔에 담아냈습니다.

신축성 있는 네오프렌 소재 대신 내구성 있는 텍스타일 원단으로 교체했으며 그립이 좋은 러버 아웃솔과 눈에 띄는 에어 유닛을 통해 탄생한 멋스러운 스니커는 추위를 잊을 만큼 강렬한 스타일을 보여줍니다.

담당자에 따르면 1,100족 한정으로 북유럽 지역의 나이키 주요 취급처에서 11월 22일 출시됩니다.

@nikesportswear @nike @sneakersnstuff
수정됨 · 1주",['#나이키']
"numulbo_
나이키 로고가 톡! 포인트가 되는
#나이키운동화 BEST 모음 👟💙
@@ 쟈기야 우리 요고루 맞츄자 (๑•̀ㅂ•́)و✧

#운동화 #신발 #커플운동화 #커플신발 #커플운동화추천 #커플신발추천 #커플 #데이트 #커플템 #커플룩 #나이키 #나이키덩크
44주","['#나이키운동화', '#운동화', '#신발', '#커플운동화', '#커플신발', '#커플운동화추천', '#커플신발추천', '#커플', '#데이트', '#커플템', '#커플룩', '#나이키', '#나이키덩크']"
"minsu.fashion
오늘의 민수픽은(* ⁰̷̴͈꒳⁰̷̴͈ )‧˚₊*
요즘 운동화 왜이렇게 비싼거야ㅜㅜ 3편으로 가져온
느낌조은 브랜드 운동화(갓성비)나이키편
제품 찾기 귀찮으면 댓글 남겨조 링크 보내줄겡
(댓글에 민수라고 남겨조

🩷@minsu.fashion 팔로우하고 재미난 패션정보 얻어보자🩷

👟(W)나이키 코르테즈 골지 그린 앤 말라카이트(72000￦)
👟(W)나이키 코르테즈 화이트 레드 스타더스트(70000￦)
👟(W)나이키 코르테즈 화이트 유니버시티 블루(67000￦)
👟(W)나이키 코르테즈 화이트 앤 블랙(71000￦)

👟(GS)나이키 코트 버로우 로우 2 라이트 스모크 그레이(71000￦)
👟(GS)나이키 코트 버로우 로우 2 SE 퓨어 플래티넘 쿨 그레이(71000￦)
👟(GS)나이키 코트 버로우 로우 2 SE 화이트 유니버시티 레드(61000￦)
👟(GS)나이키 코트 버로우 2 포톤 더스트 오프 느와르(52000￦)

👟(GS)나이키 코트 버로우 로우 2 SE 오프 화이트 그린(59000￦)
👟(GS)나이키 코트 버로우 로우 2 SE 그레이 포그(48000￦)
👟(GS)나이키 코트 버로우 로우 2 블랙 화이트(59000￦)

👟(W)나이키 테크 헤라 앤트러사이트 라이트 스모크 그레이(64000￦)
👟나이키 V2K 런 블랙 앤트러사이트(77000￦)
👟(W)나이키 테크 헤라 서밋 화이트(41000￦)
👟나이키 V2K 런 메탈릭 실버 화이트(82000￦)

#나이키 #운동화추천 #여름운동화 #갓성비 #커플신발 #신발추천 #나이키운동화 #코트버로우 #코르테즈 #v2k
13주","['#나이키', '#운동화추천', '#여름운동화', '#갓성비', '#커플신발', '#신발추천', '#나이키운동화', '#코트버로우', '#코르테즈', '#v2k']"
"__xhxsxyx
귀여워🤎
52주",[]
"ypnam15
나이키 빨파로고 양말
나이키 이니셜과 로고 색감이 너무이뻐요
다소 심심한 패션에 포인트를 주기도 좋답니다
저도 자주 신는 양말입니다 실물깡패에요 :)
#나이키런 #나이키 #나이키양말 #ootd
89주","['#나이키런', '#나이키', '#나이키양말', '#ootd']"
"minsu.fashion
오늘의 민수픽은⌯^𖥦^⌯ಣ
색상별로 가지고 싶은 바람막이 추천집
간절기 필수템 바막은 지금 날씨에 딱 입어줘야 하거등..

제품 찾기 귀찮으면 ’민수‘라고 댓글 남겨조
제품 구매 바로 할 수 있는 링크 보내줄겡

🌬️@minsu.fashion 팔로우하고 패션꿀템 얻어보자🌬️

🍃나이키 - NSW 솔로 스우시 우븐 트랙 자켓(185000원)
🍃아디다스 - 에센셜 3S 우븐 윈드브레이커(89000원)
🍃노스페이스 - 화이트라벨 테크 런 트랙 자켓(94800원)
🍃널디 - 시어서커 아노락(64500원)

🍃아디다스 - 에센셜 삼선 우븐 윈드브레이커 자켓(67000원)
🍃아디다스 - 에센셜 3S 우븐 윈드브레이커 자켓 (98000원)
🍃칙스 - 쉘오버 윈드 브레이커(33210원)
🍃예일 - 헤리티지 댄 라이트웨이트 패커블 윈드브레이커(49000원)

🍃나이키 - NSW 솔로 스우시 우븐 트랙 자켓(110000원)
🍃트래블 - 나일론 플랩 아노락(52500원)
🍃아디다스 - 에센셜 3S 우븐 윈드브레이커 자켓(78000원)
🍃레더리 - 퍼커링 시어 윈드 자켓(43200원)

🍃트래블 -슬래시 후드 윈드 브레이커(49900원)
🍃키뮤어 - 글로시 투톤 윈드브레이커 (59900원)
🍃어반디타입 -3레이어 테크 포켓 윈드 쉘 자켓(79000원)
🍃세컨모놀로그 - 플랩 시어 윈드브레이커 자켓(69800원)

🍃코드그라피 - 2-WAY 테크 숏 자켓(69900원)
🍃토피 - 컬러 매칭 트랙 자켓 (49500원)
🍃코드그라피 - 테크 숏 후드 자켓(53124원)
🍃트릴리온 - 라이트 웨이트 후드 집업 윈드브레이커(39900원)

#바람막이 #윈드브레이커 #아우터추천 #가을아우터 #가을코디 #학생코디 #갓성비 #오늘뭐입지 #바람막이추천 #아디다스 #나이키
수정됨 · 8주","['#바람막이', '#윈드브레이커', '#아우터추천', '#가을아우터', '#가을코디', '#학생코디', '#갓성비', '#오늘뭐입지', '#바람막이추천', '#아디다스', '#나이키']"
"good_tip_unni
어디에도 찰떡인 가을 데일리 신발🤎
@@데일리룩에 다 어울려,,✨
.
오늘의 꿀팁은👉 @good_tip_unni
.
#데일리 #데일리룩 #신발 #아디다스 #나이키 #가젤 #가을화 #가을신발 #커플신발 #추천
7주","['#데일리', '#데일리룩', '#신발', '#아디다스', '#나이키', '#가젤', '#가을화', '#가을신발', '#커플신발', '#추천']"
"swim_hyunlee
아직도 이쁜슝복보면 사고싶고 새수영복 입으면 기부니가 좋크등요😍

빽스타일에 꽃혀 직구로 구매한 @nikeswim
수정됨 · 18주",[]
"lady_pretty_space
신발러버들이 원픽으로 뽑은 데일리 운동화 추천💙
@@같이 커플 신발 할까?? (๓´˘`๓)♡

#신발 #운동화 #데일리신발 #데일리운동화 #신발러버 #원픽운동화 #원픽신발 #운동화추천 #데일리 #패션 #패션스타그램 #ootd #코디 #코디스타그램 #코덕 #꾸안꾸 #스타일 #반스 #나이키 #아식스 #뉴발 #아이다스 #오니츠카타이거
7주","['#신발', '#운동화', '#데일리신발', '#데일리운동화', '#신발러버', '#원픽운동화', '#원픽신발', '#운동화추천', '#데일리', '#패션', '#패션스타그램', '#ootd', '#코디', '#코디스타그램', '#코덕', '#꾸안꾸', '#스타일', '#반스', '#나이키', '#아식스', '#뉴발', '#아이다스', '#오니츠카타이거']"
"lady_good_tip
꾸민 듯 안 꾸민 나이키템 모음💥
@@다 나에게로…°• ♥ •°
.
오늘의 꿀팁은👉 @lady_good_tip
.
#나이키 #나이키템 #나이키추천 #추천 #추천템 #패션 #코디 #코디스타그램
5주","['#나이키', '#나이키템', '#나이키추천', '#추천', '#추천템', '#패션', '#코디', '#코디스타그램']"
"shoes_truck
_
나이키 우먼스 브이투케이 런 블랙 & 메탈릭 실버 🖤🤍

브이투케이 런 화이트&실버나 올블랙은 이미 많이 보셨을텐데 이조합은 또 더 예쁘네요😎

발도 정말 편하고 통풍 잘되는 소재라서
러닝화로도 여행룩으로도 데일리로도 정말 좋아요👀

실물이 더 예쁜데 사진에 안담겼어요🥹
스토어에 사진 보시고 주문해주세요

#브이투케이런 #슈즈트럭사진
3주","['#브이투케이런', '#슈즈트럭사진']"
"shin_yubin_
👟🤍

#NIKE #나이키 #나이키V2K스타일 #나이키서울

@nikeseoul
수정됨 · 26주","['#NIKE', '#나이키', '#나이키V2K스타일', '#나이키서울']"
"voguekorea
#협찬 #VogueDigitalCover #NewJeans
어제와 오늘 그리고 내일의 뉴진스.

지금 레트로 문화를 가장 잘 이해하고 있는 시대의 신드롬, 뉴진스와 나이키 러닝에서 다시 탄생한 스니커즈 ‘보메로 롬(Vomero Roam)’과 ‘V2K 런 GTX’이 만났습니다. 시간의 층위에서 그들이 함께 그려낸 레트로토피아.

digital director MINJI KWON
fashion editor EUNJI SHIN
photographer HYAE W. KANG
stylist YUMI CHOI
hair GABE
makeup SOL LEE
interview DONGSUN AN
set BLUE FAST
design DAHYE HAN
-
@nikeseoul @newjeans_official #나이키 #레트로러닝 #나이키보메로롬 #나이키V2K고어텍스 #Nike #RetroRunning #NikeVomeroRoam #NikeV2KGTX #뉴진스 #Minji #Hanni #Danielle #Haerin #Hyein
수정됨 · 2주","['#협찬', '#VogueDigitalCover', '#NewJeans', '#나이키', '#레트로러닝', '#나이키보메로롬', '#나이키V2K고어텍스', '#Nike', '#RetroRunning', '#NikeVomeroRoam', '#NikeV2KGTX', '#뉴진스', '#Minji', '#Hanni', '#Danielle', '#Haerin', '#Hyein']"
"curation_club
보디(@bode) X 나이키(@nike) 국내 발매 🙌🏻

지난 달, 첫 출시 이후 엄청난 인기를 보여주며 품절되었던 ’보디X나이키 아스트로그래버‘가 국내에서 공식 발매됩니다. 아스트로 그래버는 1970년대 나이키의 초창기 축구화 모델로, 이번 보디와의 협업을 통해 새롭게 재탄생했습니다.

총 2가지 컬러로, 빈티지한 무드가 느껴지면서도 깔끔한 디자인 덕분에 데일리로 활용하기 좋을 제품입니다. 🏃

👟 발매정보
제품명 : 보디 x 나이키 아스트로 그래버
컬러 : 블랙 앤 코코넛 밀크 / 라이트 크림 앤 블랙
가격 : 18만 9천원

⏱️ 발매일정
5월 28일 (화) 오전 10시
나이키 SNKRS 앱에서 응모

+ @curation_club 에서 추후 발매 소식을 받아보세요!

📸 @ahkeem_thedream @arab_lincoln @ojiman_35 @joreyj
수정됨 · 17주",[]
"yamyamm2da
흐린 날씨 훠이훠이
31주",[]
"___kim_0
.
갑자기 코르테즈에 꽂혀서 스무살 이후로 십몇년만에 새 코르테즈 샀어요🙆🏻‍♀️🙆🏻‍♀️
새 신발 신고 7월도, 하반기도 힘내서 달려가봅니다🐾🐾

✔️저는 롯백 일산점 나이키 매장에서 샀어요.
피드 마지막컷과 스토리에 박스 제품명 사진 올려두었어요😉
저도 잘 모르지만 나이키 코르테즈 텍스타일 구아바 아이스 컬러인 것 같아요? 자세한 문의는 나이키 매장으로 부탁드려요🫶🏻
.
.
#7월도화이팅 #지네병
#나이키 #코르테즈 #nike #cortez
수정됨 · 20주","['#7월도화이팅', '#지네병', '#나이키', '#코르테즈', '#nike', '#cortez']"
"croket_official
디자인도 예쁜데 가격까지 착한❤️👼
10만원대 브랜드별 꾸안꾸화 모음.zip
@@요기 이쁜거 잔뜩 있다 ૮꒰ ྀི〃´꒳`〃꒱ა
ㅤ
🖤 나이키/아디다스/뉴발란스/아식스 등!
🖤 화면 터치 후 확인하세요!

#나이키 #아디다스 #뉴발란스 #아식스 #신발 #신발추천 #운동화 #운동화추천
14주","['#나이키', '#아디다스', '#뉴발란스', '#아식스', '#신발', '#신발추천', '#운동화', '#운동화추천']"
"un_ni_tip
꾸안꾸룩 착붙 나이키 덩크 컬러별 모음!👟

@@덩크 존예야ㅠㅠ

#언꿀:) #나이키 #나이키신발 #나이키신발추천 #나이키덩크 #나이키덩크추천 #덩크신발 #꿀팁 #정보
52주","['#언꿀:)', '#나이키', '#나이키신발', '#나이키신발추천', '#나이키덩크', '#나이키덩크추천', '#덩크신발', '#꿀팁', '#정보']"
"unni_secret_note
슬슬 끝나가는 여름! 운동화가 잘 어울리는 가을맞이🍁
🧡10만원대 운동화 추천 모음🧡
@@존예인데 이거 어때???
⠀
⠀
⠀
⠀
#운동화 #가을 #가을운동화 #겨울운동화 #데일리룩 #운동화추천 #신발추천 #신발 #아디다스 #오니츠카타이거 #나이키 #푸마 #패션 #패션스타그램 #뷰티 #뷰티스타그램 #커플템 #커플운동화
12주","['#운동화', '#가을', '#가을운동화', '#겨울운동화', '#데일리룩', '#운동화추천', '#신발추천', '#신발', '#아디다스', '#오니츠카타이거', '#나이키', '#푸마', '#패션', '#패션스타그램', '#뷰티', '#뷰티스타그램', '#커플템', '#커플운동화']"
"luv_jayne
나이키와 함께라면 어디든! 🍕🍔 #광고

무더운 여름이지만 집에만 있을순없잔아요? 그럴땐 가볍고 스타일리쉬한 나이키로 힙하게! 역시 클래식은 어디에나 통하는법😌🧳

#나이키 #코르테즈 #나이키수트
@nikeseoul @nikewomen
12주","['#광고', '#나이키', '#코르테즈', '#나이키수트']"
"fashionandstyle.official
김고은의 나이키 슈즈 컬렉션👟💚
그녀가 데일리로 애정하는 나이키 운동화 4가지🤍@탐난다😚

1. 나이키 킬샷 2 레더 루시드 그린, 11만 9천 원.

2. 나이키 데이브레이크 블랙 화이트, 11만 9천 원.

3. 나이키 에어 포스 화이트, 13만 9천 원.

4. 나이키 코르테즈 화이트 블랙, 11만 9천 원.

#김고은 #나이키 #나이키운동화 #나이키킬샷 #나이키에어포스 #나이키데이브레이크 #나이키코르테즈
수정됨 · 26주","['#김고은', '#나이키', '#나이키운동화', '#나이키킬샷', '#나이키에어포스', '#나이키데이브레이크', '#나이키코르테즈']"
"today_good_tip
꾸안꾸룩에 자연스럽게 착붙하는♡
💙 #나이키 덩크 컬러별 모음.zip 💙
@@ 이거 보고 운동화 사보쟝 ㅎㅎ

.
.
.
#나이키덩크 #덩크 #운동화 #운동화추천 #패션스타그램 #ootd #컬러별추천 #추천템 #휘뚤템 #커플신발 #커플템 #신발추천 #나이키덩크운동화
45주","['#나이키', '#나이키덩크', '#덩크', '#운동화', '#운동화추천', '#패션스타그램', '#ootd', '#컬러별추천', '#추천템', '#휘뚤템', '#커플신발', '#커플템', '#신발추천', '#나이키덩크운동화']"
"dailyfashion_news
나이키 최초의 러닝화 ‘문슈’의 귀환 👟👀
✨코르테즈 SE&킬샷 2 프리미엄

나이키 최초의 러닝화 ‘문슈’가 탄생한
1972년을 기리는 “72” 레터링이 적용된
나이키의 새로운 스니커즈!

2000년대 축구 스파이크를 연상시키는
탈부착 가능한 스우시 엄브로이더리 커버 등이
특징으로 들어간 이들의 신제품 소식을 전합니다 📸

📌 디자인&발매 일정

▪️나이키 최초의 러닝화 ‘문슈’가 탄생한 1972년을 기리는 “72” 레터링이 적용됨
▪️탈부착 가능한 스우시 엄브로이더리 커버, 레더 소재 활용

🗓️A+S(@aands.official): 9월 13일
🗓️아트모스(@atmos_tokyo): 9월 18일 (12일~17일 레플 응모)

📌나이키 코르테즈 SE

🎨컬러: 메탈릭 쿨 그레이, 블랙
💸가격: ¥12,430-(한화로 약 11만 7천 원)

📌 나이키 킬샷 2 프리미엄

🎨컬러: 바로크, 블랙
💸가격: ¥14,300-(한화로 약 13만 5천 원)

#나이키 #코르테즈SE #킬샷2프리미엄

📷 @aands.official @atmos_tokyo
10주","['#나이키', '#코르테즈SE', '#킬샷2프리미엄']"
"unboxing_note
📝 블랙+실버 조합이 포인트인 트렌디하면서 저럼한 이쁜 신발 알려드릴께요 🔥

✅ NIKE @nike
👞 Air Max Torch 4 Anthracite Metallic Silver
💰 ₩87,000

전세계 모든 꿀템을 알려 드립니다.
@unboxing_note
7주",[]
"onl_ootd_
커플로 신고싶은
부들부들 #나이키 캄 뮬 퍼🤍🤎🖤
@@ 귀여운 나에게 사주세요(ง ͠° ͟ʖ ͡°)ง
.
📌프로필에 구매링크 있어요😘!
1주",['#나이키']
"all.about.20s
매일 똑같은 무채색 나이키가 질렸다면?!✨
흔하지 않고 특별한🖤🖤#나이키 존예템 모음집33🖤🖤
티셔츠부터 바지까지 색감 예쁘고 특별한 것만 가~아득!

여기 에뿐고 짱만타! @@나한테 어울리는 거 골라조><
28주",['#나이키']
"_luv.sol
아크테릭스 신상 모음 다 모았쟈나~~~?🩶🩵🩷🤎
요즘 최애 맨티스까쥐😘
7주",[]
"aubrey_mccarty45
문의는 👉 @myulive
문의는 👉 @myulive

💖브랜드 의류 잡화 창고털이 💖

밴드가입 해주세요!!!!! 뮤뮤라방
💥프로필 링크 클릭💥

주문은 카톡채널 뮤뮤라방
.
.
.
#브랜드의류 #나이키 #아디다스 #원정방송 #라이브방송
#라방특가 #라이브할인 #재고방송 #창고방송 #떨이
#땡처리 #라이브셀러 #맞팔 #소통 #창고라방
#브랜드방송 #물류창고방송 #노스페이스 #이미스 #폴로
#폴로니트 #폴로가디건 #폴로셔츠 #타미 #스투시
#맨투맨 #후드티 #아크테릭스 #말본
4주","['#브랜드의류', '#나이키', '#아디다스', '#원정방송', '#라이브방송', '#라방특가', '#라이브할인', '#재고방송', '#창고방송', '#떨이', '#땡처리', '#라이브셀러', '#맞팔', '#소통', '#창고라방', '#브랜드방송', '#물류창고방송', '#노스페이스', '#이미스', '#폴로', '#폴로니트', '#폴로가디건', '#폴로셔츠', '#타미', '#스투시', '#맨투맨', '#후드티', '#아크테릭스', '#말본']"
"good_tip_100
깔끔한 운동화 찾으면 바로 이거! 진짜 뽐뿌온다 😅
💜프로필에 구매링크 있어요💜
•
•
•
#꿀팁백과 #나이키 #nike #나이키운동화 #흰운동화
#나이키tc7900 #나이키tc7900써밋화이트
#tc7900 #tc7900써밋화이트 #운동화 #운동화추천
171주","['#꿀팁백과', '#나이키', '#nike', '#나이키운동화', '#흰운동화', '#나이키tc7900', '#나이키tc7900써밋화이트', '#tc7900', '#tc7900써밋화이트', '#운동화', '#운동화추천']"
"cherish_gwangju
돈만 많으면 종류별로 다 갖고 싶은
나이키 조녜 운동화 추천o(*°▽°*)o
누가 나 사주면 징짜 조켔따~~~☆★
사주는건 @@바로 너💕

#나이키 #데일리운동화 #나이키운동화 #나이키추천 #데일리 #일상 #데일리템 #커플운동화 #커플템 #존예운동화 #예쁜운동화 #런닝화 #나이키매니아 #나이키에어모나크 #깔끔 #예쁜신발 #신발추천 #운동화추천 #운동화모음
162주","['#나이키', '#데일리운동화', '#나이키운동화', '#나이키추천', '#데일리', '#일상', '#데일리템', '#커플운동화', '#커플템', '#존예운동화', '#예쁜운동화', '#런닝화', '#나이키매니아', '#나이키에어모나크', '#깔끔', '#예쁜신발', '#신발추천', '#운동화추천', '#운동화모음']"
